21:13:25.382 -> angle read:15.00 | controller signal:1520.20 | 
21:13:25.416 -> angle read:14.00 | controller signal:1520.20 | 
21:13:25.484 -> angle read:15.00 | controller signal:1508.20 | 
21:13:25.519 -> angle read:14.00 | controller signal:1508.20 | 
21:13:25.589 -> angle read:14.00 | controller signal:1521.30 | 
21:13:25.624 -> angle read:14.00 | controller signal:1521.30 | 
21:13:25.693 -> angle read:14.00 | controller signal:1522.40 | 
21:13:25.727 -> angle read:14.00 | controller signal:1522.40 | 
21:13:25.761 -> angle read:15.00 | controller signal:1522.40 | 
21:13:25.829 -> angle read:14.00 | controller signal:1523.50 | 
21:13:25.864 -> angle read:14.00 | controller signal:1523.50 | 
21:13:25.931 -> angle read:15.00 | controller signal:1511.50 | 
21:13:25.966 -> angle read:14.00 | controller signal:1511.50 | 
21:13:26.035 -> angle read:15.00 | controller signal:1511.50 | 
21:13:26.069 -> angle read:15.00 | controller signal:1511.50 | 
21:13:26.136 -> angle read:14.00 | controller signal:1511.50 | 
21:13:26.169 -> angle read:15.00 | controller signal:1511.50 | 
21:13:26.238 -> angle read:15.00 | controller signal:1511.50 | 
21:13:26.272 -> angle read:14.00 | controller signal:1524.60 | 
21:13:26.341 -> angle read:14.00 | controller signal:1524.60 | 
21:13:26.375 -> angle read:14.00 | controller signal:1524.60 | 
21:13:26.409 -> angle read:14.00 | controller signal:1525.70 | 
21:13:26.479 -> angle read:15.00 | controller signal:1525.70 | 
21:13:26.513 -> angle read:15.00 | controller signal:1513.70 | 
21:13:26.583 -> angle read:14.00 | controller signal:1513.70 | 
21:13:26.617 -> angle read:14.00 | controller signal:1513.70 | 
21:13:26.686 -> angle read:15.00 | controller signal:1513.70 | 
21:13:26.720 -> angle read:15.00 | controller signal:1513.70 | 
21:13:26.790 -> angle read:15.00 | controller signal:1513.70 | 
21:13:26.825 -> angle read:14.00 | controller signal:1513.70 | 
21:13:26.894 -> angle read:15.00 | controller signal:1513.70 | 
21:13:26.928 -> angle read:14.00 | controller signal:1513.70 | 
21:13:26.961 -> angle read:15.00 | controller signal:1513.70 | 
21:13:27.031 -> angle read:14.00 | controller signal:1526.80 | 
21:13:27.066 -> angle read:14.00 | controller signal:1526.80 | 
21:13:27.135 -> angle read:14.00 | controller signal:1527.90 | 
21:13:27.169 -> angle read:15.00 | controller signal:1527.90 | 
21:13:27.238 -> angle read:14.00 | controller signal:1527.90 | 
21:13:27.272 -> angle read:14.00 | controller signal:1529.00 | 
21:13:27.307 -> angle read:15.00 | controller signal:1529.00 | 
21:13:27.375 -> angle read:14.00 | controller signal:1530.10 | 
21:13:27.409 -> angle read:15.00 | controller signal:1530.10 | 
21:13:27.479 -> angle read:15.00 | controller signal:1518.10 | 
21:13:27.513 -> angle read:14.00 | controller signal:1518.10 | 
21:13:27.583 -> angle read:15.00 | controller signal:1518.10 | 
21:13:27.618 -> angle read:14.00 | controller signal:1531.20 | 
21:13:27.688 -> angle read:15.00 | controller signal:1531.20 | 
21:13:27.723 -> angle read:15.00 | controller signal:1519.20 | 
21:13:27.790 -> angle read:15.00 | controller signal:1519.20 | 
21:13:27.825 -> angle read:15.00 | controller signal:1519.20 | 
21:13:27.859 -> angle read:14.00 | controller signal:1532.30 | 
21:13:27.928 -> angle read:14.00 | controller signal:1532.30 | 
21:13:27.963 -> angle read:15.00 | controller signal:1532.30 | 
21:13:28.031 -> angle read:14.00 | controller signal:1533.40 | 
21:13:28.065 -> angle read:15.00 | controller signal:1533.40 | 
21:13:28.134 -> angle read:14.00 | controller signal:1534.50 | 
21:13:28.167 -> angle read:14.00 | controller signal:1534.50 | 
21:13:28.235 -> angle read:14.00 | controller signal:1535.60 | 
21:13:28.269 -> angle read:15.00 | controller signal:1535.60 | 
21:13:28.337 -> angle read:14.00 | controller signal:1536.70 | 
21:13:28.371 -> angle read:14.00 | controller signal:1536.70 | 
21:13:28.439 -> angle read:14.00 | controller signal:1536.70 | 
21:13:28.472 -> angle read:15.00 | controller signal:1524.70 | 
21:13:28.507 -> angle read:15.00 | controller signal:1524.70 | 
21:13:28.575 -> angle read:14.00 | controller signal:1524.70 | 
21:13:28.609 -> angle read:14.00 | controller signal:1537.80 | 
21:13:28.678 -> angle read:15.00 | controller signal:1537.80 | 
21:13:28.712 -> angle read:15.00 | controller signal:1525.80 | 
21:13:28.781 -> angle read:15.00 | controller signal:1525.80 | 
21:13:28.815 -> angle read:14.00 | controller signal:1538.90 | 
21:13:28.885 -> angle read:14.00 | controller signal:1538.90 | 
21:13:28.920 -> angle read:14.00 | controller signal:1540.00 | 
